No SN f A  SNo
0 2.83499 0.991 0.149466 2.83499
1 3.2458 0.189 0.168399 3.2458
2 2.88197 7.42 0.157136 2.88197
3 3.00724 2.114 0.150146 3.00724
4 2.90974 7.841 0.142209 2.90974
5 2.75657 6.234 0.138801 2.75657
6 3.53675 9.669 0.186198 3.53675
7 2.91197 1.819 0.155978 2.91197
8 2.68337 0.27 0.14313 2.68337
9 2.9629 1.847 0.153401 2.9629
10 2.97623 4.403 0.157399 2.97623
11 2.95731 8.853 0.157163 2.95731
12 2.88115 8.748 0.150567 2.88115
13 3.08122 4.086 0.155857 3.08122
14 2.88419 3.812 0.158457 2.88419
15 2.94279 5.126 0.148446 2.94279
16 3.08174 1.579 0.166489 3.08174
17 4.18588 3.038 0.221573 4.18588
18 2.84655 9.283 0.152428 2.84655
19 3.09348 2.777 0.165262 3.09348
20 3.48872 5.886 0.181079 3.48872
21 3.12255 1.188 0.162065 3.12255
22 3.18099 2.694 0.164813 3.18099
23 2.73591 8.342 0.140282 2.73591
24 3.14255 3.34 0.165127 3.14255
25 2.9755 8.004 0.152404 2.9755
26 2.72097 2.92 0.139747 2.72097
27 2.81949 5.315 0.155056 2.81949
28 3.40705 7.939 0.183996 3.40705
29 3.35576 3.253 0.164419 3.35576
30 2.46434 9.937 0.130108 2.46434
31 3.19904 1.016 0.174522 3.19904
32 2.90946 3.934 0.158906 2.90946
33 3.01126 9.883 0.158703 3.01126
34 3.42739 9.936 0.179379 3.42739
35 2.79743 7.38 0.155478 2.79743
36 2.73038 4.998 0.142126 2.73038
37 2.74855 4.389 0.142411 2.74855
38 3.31106 3.411 0.164885 3.31106
39 3.1021 7.818 0.16636 3.1021
40 2.66407 9.234 0.138401 2.66407
41 3.06986 0.72 0.158762 3.06986
42 3.0474 8.837 0.152574 3.0474
43 2.61785 5.863 0.147323 2.61785
44 2.97718 8.043 0.154378 2.97718
45 2.84317 1.525 0.153989 2.84317
46 3.274 2.918 0.162891 3.274
47 3.08087 6.997 0.168427 3.08087
48 3.02217 7.424 0.163173 3.02217
49 2.83622 2.547 0.148606 2.83622
50 2.5367 0.437 0.136588 2.5367
51 3.34809 9.463 0.177257 3.34809
52 2.80594 6.717 0.139549 2.80594
53 2.73959 9.778 0.141751 2.73959
54 3.19031 0.895 0.177506 3.19031
55 2.70359 2.421 0.144487 2.70359
56 2.5551 0.437 0.131562 2.5551
57 3.0288 2.162 0.161093 3.0288
58 3.06341 9.903 0.15685 3.06341
59 3.05278 3.772 0.157715 3.05278
60 2.93221 8.646 0.148916 2.93221
61 2.89268 0.423 0.152691 2.89268
62 3.22081 5.816 0.159823 3.22081
63 3.22073 4.178 0.17115 3.22073
64 3.21232 3.474 0.167656 3.21232
65 2.86341 5.887 0.141734 2.86341
66 2.8011 3.241 0.15022 2.8011
67 3.44148 7.77 0.179224 3.44148
68 3.1458 0.283 0.157133 3.1458
69 2.75332 5.977 0.139819 2.75332
70 2.73694 3.536 0.151585 2.73694
71 2.7654 6.768 0.143715 2.7654
72 3.31285 7.581 0.176565 3.31285
73 3.0676 4.809 0.167249 3.0676
74 3.30457 7.276 0.169349 3.30457
75 2.71102 7.678 0.148658 2.71102
76 3.79931 1.629 0.189496 3.79931
77 2.63784 4.039 0.147071 2.63784
78 3.14856 2.677 0.174355 3.14856
79 2.97603 6.663 0.157933 2.97603
80 3.37544 7.758 0.172601 3.37544
81 3.69788 8.736 0.193282 3.69788
82 3.30549 4.5 0.173778 3.30549
83 2.83975 7.364 0.144581 2.83975
84 2.99363 3.775 0.157944 2.99363
85 2.90688 5.626 0.162669 2.90688
86 3.00006 2.988 0.161547 3.00006
87 2.80274 8.689 0.157465 2.80274
88 2.80629 5.743 0.148697 2.80629
89 3.06116 5.082 0.165712 3.06116
90 2.48593 2.531 0.132957 2.48593
91 2.79489 1.972 0.14765 2.79489
92 2.7864 7.636 0.143569 2.7864
93 2.80325 2.787 0.151571 2.80325
94 2.75889 8.721 0.143873 2.75889
95 3.02751 6.27 0.164245 3.02751
96 2.84721 2.956 0.148639 2.84721
97 3.23743 3.727 0.164764 3.23743
98 2.95102 8.643 0.157163 2.95102
99 3.67187 8.666 0.189241 3.67187
